ImageID,Outfall,Outfall_Spilling,Outfall_Aeration,Outfall_Screen,Sewage_Litter,Rubbish,Obstruction,Modified_Channel,Proportion_Modification,Discolouration,Discolouration_colour,Discolouration_Outfall,Aeration,Aeration_Extent,Sensor,Wildlife,Wildlife_Fish,Wildlife_Algal,Wildlife_Invertebrate,Wildlife_Birds,Wildlife_Other,Plants
UNKXXXX00000000120,N,U,U,U,N,N,Full,N,None,N,U,U,Y,Full,N,Y,Y,N,U,U,U,N
GBR202300000000049,N,U,U,U,N,N,Minor,N,None,Y,#9C8457,N,Y,Minor,N,N,U,U,U,U,U,Y
GBR202300000000135,N,U,U,U,N,N,Minor,N,None,N,U,U,Y,Minor,N,U,U,U,U,U,U,Y
GBR202300000000086,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,N,U,U,U,U,U,Y
UNKXXXX00000000035,Y,Y,N,N,N,N,None,Y,Full,Y,U,Y,N,None,N,N,N,N,N,N,N,Y
GBR202300000000242,N,U,U,U,N,N,None,N,None,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
GBR201700000000101,N,U,U,U,N,N,Minor,N,U,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
GBR202300000000013,N,U,U,U,N,N,Minor,N,U,N,U,U,Y,Minor,N,Y,U,U,U,U,Y,Y
GBR201600000000051,Y,Y,N,N,Y,Y,Partial,Y,Partial,Y,#F5F5DC,Y,N,None,N,N,N,N,N,N,N,Y
GBR202300000000078,N,U,U,U,N,Y,None,Y,Partial,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR201600000000056,N,U,U,U,N,N,None,N,None,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
GBR201700000000046,Y,N,N,N,N,Y,Minor,Y,Minor,N,U,N,N,None,N,N,N,N,N,N,N,Y
GBR202300000000010,N,U,U,U,U,N,Minor,N,None,N,U,U,Y,Minor,N,U,U,U,U,U,U,Y
GBR201700000000034,Y,N,N,N,N,Y,Full,Y,Full,Y,#D2B48C,N,N,None,N,N,N,N,N,N,N,Y
UNKXXXX00000000045,Y,Y,N,N,U,Y,Minor,Y,Partial,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
GBR201600000000008,Y,Y,N,N,N,Y,None,Y,Full,N,U,N,N,None,N,N,N,N,N,N,N,Y
GBR202300000000127,N,U,U,U,N,N,Minor,N,None,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
GBR202300000000050,N,U,U,U,N,N,None,Y,Minor,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR201700000000052,Y,Y,Y,Y,U,Y,Partial,Y,Partial,U,U,U,Y,Minor,N,N,N,N,N,N,N,N
GBR201700000000093,N,U,U,U,N,N,None,Y,Partial,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
GBR202300000000442,N,U,U,U,N,N,Minor,N,None,N,U,U,Y,Minor,N,Y,N,N,N,Y,N,Y
GBR201700000000062,N,U,U,U,N,Y,Minor,N,U,N,U,U,N,U,N,N,U,U,U,U,U,Y
GBR202300000000302,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,U,U,U,Y,N,Y
GBR201700000000054,Y,Y,N,Y,Y,Y,Minor,Y,Minor,N,U,U,N,None,N,N,U,U,U,U,U,N
GBR202300000000248,Y,Y,N,N,N,Y,Minor,Y,Full,N,U,N,Y,Minor,N,N,N,N,N,N,N,Y
GBR201600000000050,Y,Y,Y,N,U,U,Minor,N,None,Y,U,Y,Y,Partial,N,U,U,U,U,U,U,Y
GBR201600000000036,N,U,U,U,N,Y,Partial,N,None,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
UNKXXXX00000000129,Y,Y,Y,N,U,U,None,Y,Full,U,U,U,Y,Minor,N,N,U,U,U,U,U,N
GBR201700000000058,N,U,U,U,N,Y,Minor,Y,Partial,N,U,U,N,None,N,N,U,U,U,U,U,N
UNKXXXX00000000033,Y,N,N,N,N,Y,Minor,Y,Full,N,U,N,N,None,N,N,N,N,N,N,N,Y
GBR202300000000630,N,U,U,U,N,N,Minor,N,None,Y,#4CAF50,N,N,None,N,Y,N,Y,N,Y,N,Y
GBR202300000000221,N,U,U,U,U,N,None,N,None,Y,U,N,N,None,N,U,U,U,U,U,U,Y
UNKXXXX00000000101,N,U,U,U,N,N,None,N,None,N,U,U,Y,Full,N,U,U,U,U,U,U,U
GBR201600000000038,Y,Y,N,N,N,N,Minor,N,None,Y,#647A76,Y,N,None,N,N,N,N,N,N,N,Y
UNKXXXX00000000126,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,Y,N,N,N,N,Y
GBR202300000000219,N,U,U,U,N,N,None,Y,Full,N,U,U,N,None,N,Y,U,U,U,Y,U,Y
UNKXXXX00000000105,N,U,U,U,N,N,None,N,None,N,U,U,Y,Full,N,U,U,U,U,U,U,Y
GBR201600000000014,Y,Y,N,N,N,Y,Minor,Y,Partial,N,U,N,N,None,N,N,U,U,U,U,U,Y
GBR202300000000080,N,U,U,U,N,Y,None,N,None,N,U,U,N,None,N,Y,U,N,U,Y,N,Y
GBR201700000000095,N,U,U,U,N,N,Minor,Y,Partial,N,U,U,N,None,N,U,U,U,U,U,U,Y
GBR201700000000055,Y,Y,N,Y,Y,Y,Minor,Y,Partial,N,U,U,N,U,N,N,U,U,U,U,U,N
GBR202300000000211,Y,Y,N,N,N,Y,Minor,Y,Partial,N,U,N,N,None,N,N,N,N,N,N,N,Y
GBR202300000000308,N,U,U,U,N,N,Partial,N,None,Y,#6B8E23,N,N,None,N,N,U,Y,U,U,U,Y
GBR201700000000051,Y,Y,Y,Y,N,Y,Minor,Y,Partial,N,U,N,Y,Minor,N,N,N,N,N,N,N,N
GBR201700000000114,N,U,U,U,N,Y,None,N,None,N,U,U,N,None,N,N,U,U,U,U,U,Y
UNKXXXX00000000051,Y,N,N,N,N,Y,Minor,Y,Full,Y,#FFD580,N,N,None,N,N,N,N,N,N,N,Y
GBR202300000000265,N,U,U,U,N,Y,Partial,Y,Partial,Y,U,N,N,None,N,U,U,Y,U,U,U,Y
GBR201600000000032,Y,Y,Y,N,N,N,None,Y,Partial,Y,#c2b280,Y,Y,Minor,N,N,N,N,N,N,N,Y
GBR202300000000015,Y,Y,Y,N,N,N,Minor,Y,Partial,N,U,N,Y,Minor,N,N,N,N,N,N,N,Y
UNKXXXX00000000117,N,U,U,U,U,U,None,U,None,N,U,U,N,None,N,Y,Y,U,U,U,U,U
UNKXXXX00000000046,N,U,U,U,N,N,Minor,Y,Minor,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR201700000000028,N,U,U,U,N,N,Minor,N,None,N,U,U,Y,Minor,Y,N,U,U,U,U,U,N
GBR201700000000099,N,U,U,U,U,N,None,U,U,N,U,U,N,None,N,N,U,U,U,U,U,N
GBR202300000000283,N,U,U,U,N,N,None,Y,Partial,N,U,U,N,None,N,Y,U,N,U,Y,N,Y
GBR201600000000048,Y,Y,N,N,N,Y,Minor,Y,Partial,Y,#c2a386,Y,N,None,N,N,N,N,N,N,N,Y
GBR202300000000061,Y,N,N,Y,U,Y,Minor,Y,Full,N,U,N,N,None,N,N,U,U,U,U,U,Y
UNKXXXX00000000080,Y,Y,N,Y,U,N,None,Y,Partial,N,U,U,Y,Minor,N,U,U,U,U,U,U,N
GBR201600000000059,N,U,U,U,N,N,Minor,N,None,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
GBR201600000000044,Y,Y,N,Y,Y,N,Minor,Y,Partial,Y,#8B4513,Y,N,None,N,N,N,N,N,N,N,Y
UNKXXXX00000000048,Y,N,N,N,N,Y,Minor,Y,Partial,N,U,N,N,None,N,N,N,N,N,N,N,Y
GBR202300000000039,N,U,U,U,U,N,None,U,U,U,U,U,U,None,N,Y,U,U,U,Y,N,Y
GBR201700000000008,Y,Y,N,N,N,N,Minor,Y,Partial,N,U,N,N,None,N,N,N,N,N,N,N,Y
GBR201700000000010,Y,Y,Y,N,N,N,None,Y,Full,N,U,N,Y,Minor,N,N,N,N,N,N,N,Y
GBR202300000000350,N,U,U,U,N,Y,Minor,N,None,N,U,U,N,None,N,Y,U,U,U,Y,U,Y
GBR202300000000177,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR201700000000026,N,U,U,U,N,Y,None,Y,Full,Y,U,N,N,None,N,N,N,N,N,N,N,Y
UNKXXXX00000000083,Y,N,N,Y,U,N,Minor,Y,Partial,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR202300000000136,N,U,U,U,N,Y,Minor,Y,Partial,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR202300000000107,N,U,U,U,N,N,Minor,Y,Minor,Y,#808000,N,N,None,N,N,U,Y,U,U,U,Y
UNKXXXX00000000082,Y,Y,Y,Y,U,N,None,Y,Partial,Y,U,Y,Y,Minor,N,U,U,U,U,U,U,Y
GBR202300000000077,N,U,U,U,N,N,None,Y,Partial,N,U,U,Y,Minor,N,U,U,U,U,U,U,Y
GBR202300000000104,N,U,U,U,N,Y,Minor,N,U,N,U,U,N,U,N,N,U,U,U,N,U,Y
GBR201700000000035,Y,Y,Y,Y,N,U,None,Y,Partial,Y,#F4C29F,Y,Y,Partial,N,N,N,N,N,N,N,Y
GBR201700000000065,Y,Y,Y,N,U,Y,Minor,Y,Partial,Y,U,Y,Y,Partial,N,N,U,U,U,U,U,Y
GBR202300000000263,N,U,U,U,N,N,None,Y,Full,N,U,U,Y,Full,N,N,U,U,U,U,U,Y
GBR202300000000130,N,U,U,U,N,N,None,Y,Partial,N,U,U,Y,Partial,N,N,U,U,U,N,U,Y
UNKXXXX00000000042,Y,N,N,N,N,N,None,Y,Partial,N,U,N,Y,Minor,N,N,N,N,N,N,N,Y
GBR202300000000376,Y,N,N,N,N,N,Minor,Y,Partial,N,U,N,N,None,N,N,N,N,N,N,N,Y
GBR201700000000047,Y,Y,N,N,N,N,None,Y,Partial,N,U,N,N,None,N,N,N,N,N,N,N,Y
GBR201600000000040,N,U,U,U,N,Y,Minor,Y,Minor,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR201600000000047,Y,Y,N,N,N,N,Minor,N,None,N,U,N,Y,Minor,N,N,N,N,N,N,N,Y
GBR202300000000218,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,N,N,N,Y,N,Y
UNKXXXX00000000031,Y,N,N,N,N,Y,None,Y,Full,N,U,N,N,None,N,N,N,N,N,N,N,Y
GBR201700000000106,Y,Y,N,N,N,Y,Minor,N,None,Y,#A67B5B,Y,N,None,N,N,N,N,N,N,N,N
GBR202300000000018,N,U,U,U,N,Y,Minor,N,None,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR202300000000138,N,U,U,U,N,N,None,N,None,N,U,U,Y,Minor,N,Y,U,U,U,Y,N,Y
GBR201600000000020,Y,N,N,N,N,Y,Partial,Y,Full,N,U,N,N,None,N,N,N,N,N,N,N,N
GBR201700000000102,N,U,U,U,N,N,None,N,U,N,U,U,Y,Minor,N,U,U,U,U,U,U,Y
